"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C9,C8";"C_0201_0603Metric_L";2;"22pF";;;
2;"R8,R18";"R_0201_0603Metric_ERJ_L";2;"R_Small_US";;;
3;"C13,C25,C19,C15,C14,C24,C12,C29,C10,C11,C23,C32,C33,C30,C27,C28,C26,C21,C22,C31";"C_0201_0603Metric_L";20;"0.1uF";;;
4;"R6";"R_0201_0603Metric_ERJ_L";1;"1.25M";;;
5;"D1,D2";"LED_SC80X160X65L40L";2;"LED_Small_ALT";;;
6;"L1,L6,L5";"L_0603_1608Metric_L";3;"BLM18PG471SN1D";;;
7;"C16,C34";"C_0201_0603Metric_L";2;"4.7uF";;;
8;"TP1,TP2";"Conn_1x1_800x1200_Pad";2;"TestPoint";;;
9;"R7";"R_0201_0603Metric_ERJ_L";1;"2.05M";;;
10;"Q2";"TRXSOFL3P40_120X120X55L29X21L";1;"NTK3134NT1G";;;
11;"R10";"R_0201_0603Metric_ERJ_L";1;"649K";;;
12;"R9";"R_0201_0603Metric_ERJ_L";1;"1M";;;
13;"Y1";"Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm";1;"Crystal";;;
14;"C38,C5";"C_0201_0603Metric_L";2;"2.2uF";;;
15;"Q1";"TRXDFN3_101X61X53L25X15N";1;"MMBT3904LP-7B";;;
16;"C18,C35,C7,C6,C2,C17,C37,C1,C36";"C_0402_1005Metric_L";9;"10uF";;;
17;"L2,L4";"C_0805_2012Metric_L";2;"10uH";;;
18;"J1";"5055501620";1;"5055501620";;;
19;"L3";"C_0805_2012Metric_L";1;"4.7uH";;;
20;"R12";"R_0201_0603Metric_ERJ_L";1;"10K";;;
21;"R15";"R_0201_0603Metric_ERJ_L";1;"47k5";;;
22;"U4";"UQFN_MCP1711";1;"NCP163AMX330TBG";;;
23;"C4,C3";"C_0201_0603Metric_L";2;"10pF";;;
24;"U5";"SON_4_P300_395X395X90L55X35L";1;"TSOP57438TT1";;;
25;"SW1";"SMD-Switch-3mmx2mm";1;"TL3780AF330QG";;;
26;"R16";"R_0201_0603Metric_ERJ_L";1;"37K";;;
27;"R17,R13";"R_0201_0603Metric_ERJ_L";2;"1K";;;
28;"C39,C20";"C_0201_0603Metric_L";2;"1uF";;;
29;"R3,R2";"R_0201_0603Metric_ERJ_L";2;"25K";;;
30;"IC2";"BGA6C40P2X3_81X121X68";1;"LP5522TM_NOPB";;;
31;"R19";"R_0201_0603Metric_ERJ_L";1;"2K";;;
32;"R20";"R_0201_0603Metric_ERJ_L";1;"8.2K";;;
33;"R4";"R_0201_0603Metric_ERJ_L";1;"400K";;;
34;"U1";"QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm";1;"LTC3554";;;
35;"IC1";"SON50P100X150X55-6N";1;"LMV881LE_NOPB";;;
36;"R11,R1,R5";"R_0201_0603Metric_ERJ_L";3;"100K";;;
37;"R14";"R_0201_0603Metric_ERJ_L";1;"DNL";;;
38;"U3";"BGA88CP50_8X11_493X613X75B25";1;"NOIP1SN0480A";;;
39;"U2";"ATSAMD51J20A-UUT-EFP";1;"ATSAMD51J20A-UUT-EFP";;;
