Ref,Val,Package,PosX,PosY,Rot,Side
"D2","LXZ1-PB01","LED_LXZ1_PR01_L",103.650000,-65.250000,90.000000,bottom
"J1","505551-1620","5055511620",94.145000,-68.360000,180.000000,bottom
"C1","1000p","C_0201_0603Metric_L",103.250000,-62.540000,-90.000000,top
"C2","0.1u","C_0201_0603Metric_L",102.720000,-62.540000,-90.000000,top
"C3","0.1u","C_0201_0603Metric_L",104.405000,-62.770000,180.000000,top
"C4","1u","C_0201_0603Metric_L",104.405000,-62.255000,180.000000,top
"C5","10u","C_0402_1005Metric_L",101.490000,-65.210000,90.000000,top
"C6","0.1u","C_0201_0603Metric_L",104.380000,-63.690000,180.000000,top
"C7","1000p","C_0201_0603Metric_L",101.920000,-63.615000,-90.000000,top
"C8","0.1u","C_0201_0603Metric_L",101.390000,-63.610000,-90.000000,top
"C9","1000p","C_0201_0603Metric_L",105.835000,-67.590000,0.000000,top
"C10","0.1u","C_0201_0603Metric_L",105.000000,-68.120000,0.000000,top
"C11","0.1u","C_0201_0603Metric_L",105.570000,-68.980000,-90.000000,top
"C12","1000p","C_0201_0603Metric_L",106.070000,-68.985000,-90.000000,top
"C13","0.1u","C_0201_0603Metric_L",104.870000,-65.690000,90.000000,top
"D1","LED","LED_0603_1608Metric",107.140000,-66.022500,-90.000000,top
"D3","PMEG3002EEFZ","PMEG3002EEFZ",104.125000,-61.730000,0.000000,top
"D4","PMEG3002EEFZ","PMEG3002EEFZ",101.400000,-62.530000,-90.000000,top
"D5","PMEG3002EEFZ","PMEG3002EEFZ",103.600000,-68.600000,180.000000,top
"D6","PMEG3002EEFZ","PMEG3002EEFZ",102.940000,-61.730000,180.000000,top
"D7","BZX884B7V5","BZX884B7V5LHG308",107.430000,-63.240000,90.000000,top
"D8","PMEG3002EEFZ","PMEG3002EEFZ",101.400000,-61.340000,90.000000,top
"D9","PMEG3002EEFZ","PMEG3002EEFZ",104.790000,-68.600400,0.000000,top
"D10","PMEG3002EEFZ","PMEG3002EEFZ",104.125000,-61.105000,180.000000,top
"D11","PMEG3002EEFZ","PMEG3002EEFZ",102.030000,-62.535000,90.000000,top
"D12","PMEG3002EEFZ","PMEG3002EEFZ",103.605000,-69.200000,0.000000,top
"D13","PMEG3002EEFZ","PMEG3002EEFZ",102.937700,-61.105000,0.000000,top
"D14","PMEG3002EEFZ","PMEG3002EEFZ",102.030000,-61.340000,-90.000000,top
"D15","PMEG3002EEFZ","PMEG3002EEFZ",104.790000,-69.200000,180.000000,top
"FB1","FerriteBead (0 Ohm)","L_0201_0603Metric",103.450000,-66.930000,90.000000,top
"IC1","LDFMPVR","LDFMPVR",105.920000,-62.860000,0.000000,top
"IC2","74LV1T86GXH","Texas_X2SON-5_0.8x0.8mm_P0.48mm",104.480000,-66.940000,90.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P1.00mm_Vertical",102.600000,-60.160000,-90.000000,top
"J4","Conn_01x02_Pin","PinHeader_1x02_P1.00mm_Vertical",103.800000,-60.160000,90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P1.00mm_Vertical",104.260000,-70.380000,-90.000000,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P1.00mm_Vertical",108.700000,-66.200000,180.000000,top
"J7","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",96.560000,-85.345000,-90.000000,top
"Q1","EPC2038","EPC2038",105.768100,-66.685000,180.000000,top
"R1","9.1k","R_0201_0603Metric_ERJ_L",103.250000,-63.655000,-90.000000,top
"R2","1k","R_0201_0603Metric_ERJ_L",102.720000,-63.655000,90.000000,top
"R3","150k","R_0201_0603Metric_ERJ_L",105.640000,-64.700000,0.000000,top
"R4","30k","R_0201_0603Metric_ERJ_L",105.640000,-65.220000,180.000000,top
"R5","R","R_0402_1005Metric_ERJ_L",107.090000,-68.330000,45.000000,top
