"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FB1";"L_0201_0603Metric";1;"FerriteBead (0 Ohm)";;;
2;"D5,D8,D11,D13,D9,D6,D15,D12,D10,D3,D4,D14";"PMEG3002EEFZ";12;"PMEG3002EEFZ";;;
3;"R1";"R_0201_0603Metric_ERJ_L";1;"9.1k";;;
4;"J6,J3,J5,J4";"PinHeader_1x02_P1.00mm_Vertical";4;"Conn_01x02_Pin";;;
5;"R2";"R_0201_0603Metric_ERJ_L";1;"1k";;;
6;"C12,C9,C7,C1";"C_0201_0603Metric_L";4;"1000p";;;
7;"R4";"R_0201_0603Metric_ERJ_L";1;"30k";;;
8;"C5";"C_0402_1005Metric_L";1;"10u";;;
9;"C6,C3,C10,C8,C2,C13,C11";"C_0201_0603Metric_L";7;"0.1u";;;
10;"IC2";"Texas_X2SON-5_0.8x0.8mm_P0.48mm";1;"74LV1T86GXH";;;
11;"IC1";"LDFMPVR";1;"LDFMPVR";;;
12;"R5";"R_0402_1005Metric_ERJ_L";1;"R";;;
13;"D7";"BZX884B7V5LHG308";1;"BZX884B7V5";;;
14;"D1";"LED_0603_1608Metric";1;"LED";;;
15;"C4";"C_0201_0603Metric_L";1;"1u";;;
16;"J7";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Odd_Even";;;
17;"Q1";"EPC2038";1;"EPC2038";;;
18;"R3";"R_0201_0603Metric_ERJ_L";1;"150k";;;
19;"D2";"LED_LXZ1_PR01_L";1;"LXZ1-PB01";;;
20;"J1";"5055511620";1;"505551-1620";;;
