Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C7, C9",0603,5,0.1u,
C2,CP_EIA-1608-08_AVX-J,1,10u,
C5,0603,1,10u,
C6,CP_Elec_4x5.4,1,10u,
C8,0603,1,C_osc,
D1,0603,1,LED_GREEN,
D2,0603,1,LED_RED,
"D3, D4, D5",D_SOD-923,3,ESD9B5.0ST5G,
F1,1206,1,Polyfuse,
IC1,SOT65P210X110-5N,1,SN74LV1T86DCKRG4,
J1,USB_Micro-B_Amphenol_10118194-0001LF_Horizontal,1,USB_B_Micro,
"J4, J5, J7",SMA_Amphenol_901-143_Horizontal,3,Conn_Coaxial,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R2",0603,2,470,
R3,0603,1,2k,
R4,0603,1,4.7k,
R5,0603,1,1k,
R6,0603,1,R_osc,
"TP1, TP2",TestPoint_Pad_D2.0mm,2,TestPoint,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555xM,
