Designator,Mid X,Mid Y,Rotation,Layer
C1,140.4,-96.025,270.0,top
C2,138.8,-96.0,90.0,top
C3,128.0,-83.15,0.0,top
C4,141.6,-82.85,180.0,top
C5,153.5,-99.8,270.0,top
C6,148.6,-99.9,0.0,top
C7,154.6,-92.925,270.0,top
C8,154.6,-89.725,270.0,top
C9,152.146,-73.66,180.0,top
D1,136.9875,-101.8,180.0,top
D2,137.0125,-100.1,180.0,top
D3,133.5,-89.0,270.0,top
D4,131.0,-91.6,90.0,top
D5,133.2,-91.6,90.0,top
F1,131.6,-87.7,90.0,top
IC1,152.212,-75.804,0.0,top
J1,127.8,-90.75,270.0,top
J4,164.25,-98.14,270.0,top
J5,164.3,-81.86,270.0,top
J6,150.099,-81.28,90.0,top
J7,141.732,-70.826,0.0,top
R1,128.0,-84.95,0.0,top
R2,137.2,-95.9875,90.0,top
R3,133.4875,-101.8,0.0,top
R4,133.4875,-100.09,0.0,top
R5,149.8,-85.2,180.0,top
R6,150.94,-94.225,0.0,top
U1,141.1,-88.6,180.0,top
U2,151.065,-89.725,0.0,top
